"Top Level Domain","U-Label","Translation","Agreement Type","Operator","Agreement Status","Agreement Date","Link"
"duns",,,"Base, Brand (Spec 13), Non-Sponsored","The Dun & Bradstreet Corporation","terminated","6 Aug 2015","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/duns"
"dupont",,,"Base, Brand (Spec 13), Non-Sponsored","DuPont Specialty Products USA, LLC","active","25 Jun 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/dupont"
"durban",,,"Base, Non-Sponsored","ZA Central Registry NPC trading as ZA Central Registry","active","24 Mar 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/durban"
"dvag",,,"Base, Brand (Spec 13), Non-Sponsored","Deutsche Vermögensberatung Aktiengesellschaft DVAG","active","23 Jun 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/dvag"
"dvr",,,"Base, Non-Sponsored","DISH Technologies L.L.C.","active","26 May 2016","http://iti-web-icann-lax-prod/en/registry-agreements/details/dvr"
"dwg",,,"Base, Brand (Spec 13), Non-Sponsored","Autodesk, Inc.","terminated","23 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/dwg"
"earth",,,"Base, Non-Sponsored","Interlink Systems Innovation Institute K.K.","active","4 Dec 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/earth"
"eat",,,"Base, Non-Sponsored","Charleston Road Registry Inc.","active","23 Jan 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/eat"
"eco",,,"Base, Community (Spec 12), Non-Sponsored","Big Room Inc.","active","8 Jul 2016","http://iti-web-icann-lax-prod/en/registry-agreements/details/eco"
"edeka",,,"Base, Brand (Spec 13), Community (Spec 12), Non-Sponsored","EDEKA Verband kaufmännischer Genossenschaften e.V.","active","18 Dec 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/edeka"
"education",,,"Base, Non-Sponsored","Binky Moon, LLC","active","7 Nov 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/education"
"email",,,"Base, Non-Sponsored","Binky Moon, LLC","active","31 Oct 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/email"
"emerck",,,"Base, Brand (Spec 13), Non-Sponsored","Merck KGaA","active","3 Apr 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/emerck"
